id,cidade,temperatura_atual,sensacao_termica,descricao,umidade,temperatura_min,temperatura_max,velocidade_vento,data_medicao
193,Novo Oriente,31.4,31.77,nublado,42,31.4,31.4,4.49,2025-05-22 15:14:59
194,Ocara,29.93,33.1,nublado,62,29.93,29.93,2.53,2025-05-22 15:15:00
195,Orós,31.95,32.21,nublado,40,31.95,31.95,1.91,2025-05-22 15:15:00
196,Pacajus,28.41,32.12,nublado,74,28.41,28.41,4.14,2025-05-22 15:15:00
197,Pacatuba,29.65,33.98,nuvens dispersas,69,29.65,29.65,3.1,2025-05-22 15:15:01
198,Pacoti,26.26,26.26,nublado,55,26.26,26.26,2.71,2025-05-22 15:15:01
199,Pacujá,30.97,33.61,nublado,55,30.97,30.97,1.63,2025-05-22 15:15:02
200,Palhano,32.31,34.45,nuvens dispersas,48,32.31,32.31,3.96,2025-05-22 15:15:02
201,Palmácia,27.83,29.2,nublado,60,27.83,27.83,2.4,2025-05-22 15:15:02
202,Paracuru,28.63,32.62,nuvens dispersas,74,28.63,28.63,5.8,2025-05-22 15:15:03
203,Paraipaba,28.42,32.47,nuvens dispersas,76,28.42,28.42,4.05,2025-05-22 15:11:18
204,Parambu,30.84,31.0,nublado,42,30.84,30.84,2.99,2025-05-22 15:11:18
205,Paramoti,32.18,33.54,nublado,45,32.18,32.18,3.95,2025-05-22 15:15:04
206,Pedra Branca,27.43,28.47,nublado,58,27.43,27.43,2.61,2025-05-22 15:15:04
207,Penaforte,27.87,27.98,nublado,46,27.87,27.87,3.98,2025-05-22 15:15:04
208,Pentecoste,30.48,33.77,nublado,60,30.48,30.48,3.97,2025-05-22 15:15:05
209,Pereiro,21.72,21.23,nublado,49,20.57,21.75,2.68,2025-05-22 15:15:05
210,Pindoretama,27.73,30.77,algumas nuvens,75,27.73,27.73,5.02,2025-05-22 15:15:05
211,Piquet Carneiro,28.68,30.64,nublado,61,28.68,28.68,1.7,2025-05-22 15:15:06
212,Pires Ferreira,28.25,31.01,nublado,69,28.25,28.25,1.2,2025-05-22 15:15:06
213,Poranga,28.4,29.12,nuvens dispersas,52,28.4,28.4,3.39,2025-05-22 15:15:07
214,Porteiras,26.07,26.07,nublado,57,26.07,26.07,2.22,2025-05-22 15:15:07
215,Potengi,27.64,27.98,nublado,49,27.64,27.64,3.94,2025-05-22 15:15:07
216,Potiretama,34.02,34.5,nuvens dispersas,36,34.02,34.02,4.7,2025-05-22 15:15:08
