cidade,temperatura_atual,sensacao_termica,descricao,umidade,temperatura_min,temperatura_max,velocidade_vento,data_medicao
Choró,22.99,22.96,céu limpo,62,22.99,22.99,3.73,2025-08-18 19:54:27
Chorozinho,22.03,22.48,céu limpo,84,22.03,22.03,2.15,2025-08-18 19:53:03
Coreaú,25.67,25.49,céu limpo,46,25.67,25.67,1.68,2025-08-18 19:54:28
Crateús,26.09,26.09,céu limpo,28,26.09,26.09,1.79,2025-08-18 19:52:03
Crato,26.84,26.57,algumas nuvens,36,26.84,26.84,3.6,2025-08-18 19:54:29
Croatá,23.59,22.87,céu limpo,33,23.59,23.59,0.77,2025-08-18 19:54:29
Cruz,24.77,25.21,céu limpo,73,24.77,24.77,7.34,2025-08-18 19:54:30
Deputado Irapuan Pinheiro,24.89,24.17,céu limpo,28,24.89,24.89,1.51,2025-08-18 19:54:30
Eusébio,25.92,26.47,algumas nuvens,73,25.92,25.92,4.12,2025-08-18 19:54:31
Farias Brito,22.94,22.18,céu limpo,34,22.94,22.94,2.6,2025-08-18 19:54:31
Forquilha,27.39,26.9,céu limpo,35,27.39,27.39,2.33,2025-08-18 19:54:32
Fortaleza,26.07,26.07,algumas nuvens,78,26.07,26.79,5.14,2025-08-18 19:50:08
Fortim,26.16,26.16,céu limpo,70,26.16,26.16,9.12,2025-08-18 19:54:33
Frecheirinha,26.04,26.04,céu limpo,35,26.04,26.04,2.27,2025-08-18 19:54:33
General Sampaio,22.69,22.5,céu limpo,57,22.69,22.69,3.23,2025-08-18 19:54:34
Graça,15.18,15.13,nublado,91,15.18,15.18,3.39,2025-08-18 19:54:34
Granja,23.89,24.06,céu limpo,66,23.89,23.89,2.5,2025-08-18 19:54:35
Granjeiro,24.56,23.93,céu limpo,33,24.56,24.56,2.31,2025-08-18 19:54:35
Groaíras,27.88,27.06,céu limpo,31,27.88,27.88,1.86,2025-08-18 19:54:36
Guaiúba,19.38,19.62,céu limpo,86,19.38,19.38,0.83,2025-08-18 19:54:36
Guaraciaba do Norte,21.26,20.33,céu limpo,34,21.26,21.26,1.69,2025-08-18 19:52:02
Guaramiranga,17.87,17.78,céu limpo,79,17.87,17.87,2.26,2025-08-18 19:54:37
Hidrolândia,26.52,26.52,céu limpo,31,26.52,26.52,1.34,2025-08-18 19:54:38
Horizonte,22.03,22.53,céu limpo,86,22.03,22.03,1.73,2025-08-18 19:54:38
Ibiapina,21.88,21.04,céu limpo,35,21.88,21.88,2.73,2025-08-18 19:54:03
Ibicuitinga,22.96,23.09,céu limpo,68,22.96,22.96,3.41,2025-08-18 19:54:40
